Company name,Segment,Type,Website,Growth stage,Employees,Industries,HQ city,HQ address,Tagline,LinkedIn,Profile,Job openings,Accredited sponsor,Hires international students
One Key Access,startup,commission;saas,https://www.onekeyaccess.com.au,early stage,2-10,transportation,Melbourne,"Melbourne, AU",SaaS access control platform that enables 24/7 frictionless deliveries,https://www.linkedin.com/company/one-key-access/,https://ecosystem.innovationvictoria.com/companies/one_key_access,0,,
One Small Step,startup,mobile app,http://onesmallstepapp.com,early stage,2-10,energy,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",The One Small Step app helps you to become environmentally sustainable and to reduce your carbon footprint,https://www.linkedin.com/company/one-small-step-app/,https://ecosystem.innovationvictoria.com/companies/one_small_step,0,,
One Tribe,startup,subscription;marketplace & ecommerce,https://onetribebeauty.com.au,early stage,2-10,wellness beauty,Melbourne,"Brunswick, Melbourne, City of Merri-bek, Victoria, 3056, Australia",Brings together locals to help each other with beauty needs and services,https://www.linkedin.com/company/onetribeit.com/,https://ecosystem.innovationvictoria.com/companies/one_tribe,0,,
OneBurb,startup,commission,http://oneburb.com,early stage,1,real estate,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",Be ready for the next property sales revolution,https://www.linkedin.com/company/oneburb/,https://ecosystem.innovationvictoria.com/companies/oneburb,0,,
OneLedger,scaleup,,https://oneledger.com.au/,early stage,11-50,fintech,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",Financial advisory firm enhancing decision-making with cutting-edge technology and comprehensive tax solutions,https://www.linkedin.com/company/oneledger/,https://ecosystem.innovationvictoria.com/companies/oneledger_,0,,
Onemap,scaleup,subscription;saas,http://onemap.com.au,early stage,2-10,real estate,Melbourne,"6, Riverside Quay, 3006 Melbourne, Australia",Platform offering comprehensive property data for informed decisions across Australia,https://www.linkedin.com/company/onemap-australia/,https://ecosystem.innovationvictoria.com/companies/onemap,0,,
OnePassport,startup,mobile app;subscription;saas,https://onepassport.co,early stage,2-10,security,Melbourne,"3000 Melbourne, Australia","The OnePassport App allows you to store, verify and share those important documents whenever and wherever you need them",https://www.linkedin.com/company/onepassport/,https://ecosystem.innovationvictoria.com/companies/onepassport,0,,
Onerat,startup,advertising;saas,https://www.oneratgames.com/,early stage,1,gaming,Melbourne,"Kings Way, South Melbourne, Melbourne, City of Port Phillip, Victoria, 3205, Australia",Original gaming experiences and developer middleware solutions,https://www.linkedin.com/company/onerat/,https://ecosystem.innovationvictoria.com/companies/onerat,0,,
OneTab,scaleup,commission,http://onetab.com.au,early stage,2-10,fintech;food,Melbourne,"3000 Melbourne, Australia","An a mobile application that opens, manages, and closes restaurant and bar payments",https://www.linkedin.com/company/onetab/,https://ecosystem.innovationvictoria.com/companies/onetab,0,,
Onethird,startup,artificial intelligence;selling own inventory;manufacturing,http://onethird.tech,early stage,2-10,health;food,Melbourne,"Carlton, Melbourne, City of Melbourne, Victoria, 3053, Australia",AI-powered scanners predicting fresh produce shelf-life,https://www.linkedin.com/company/onethirdtech/,https://ecosystem.innovationvictoria.com/companies/onethird_2,0,,
ONKo-innate,startup,saas,https://audax.bio,early stage,11-50,health;enterprise software,Melbourne,"3000 Melbourne, Australia",ONKo-innate is a discovery-stage biotechnology company dedicated to target identification and pre-clinical immuno-oncology drug development,https://www.linkedin.com/company/onko-innate/,https://ecosystem.innovationvictoria.com/companies/onko_innate,0,,
Online Education Services,scaleup,saas,http://www.oes.edu.au,late stage,501-1000,education,Melbourne,"600, Saint Kilda Road, 3004 Melbourne, Australia","Provider of online education services. The companionway's online education services include online course design, student support, student support, online learning experience, marketing and recruitment, student life cycle management, remote workforce",https://www.linkedin.com/company/online-education-services/,https://ecosystem.innovationvictoria.com/companies/online_education_services,62,,
onnero,scaleup,marketplace & ecommerce,http://onnero.com,early stage,2-10,marketing;enterprise software,Melbourne,"1, Queens Road, 3004 Melbourne, Australia",Fair prices for makers. Real value for consumers. A supply chain that works for both,https://www.linkedin.com/company/onnero/,https://ecosystem.innovationvictoria.com/companies/onnero,0,,
OnSet Health,startup,saas,http://onset.health,early stage,1,health,Melbourne,"St Kilda Road, Melbourne, City of Melbourne, Victoria, 3004, Australia",Automated clinical workflow for specialized healthcare,https://www.linkedin.com/company/ionset-health/,https://ecosystem.innovationvictoria.com/companies/onset_health,0,,
OnTheMonee,startup,commission,https://onthemonee.com,early stage,11-50,fintech,Melbourne,"255, Mary Street, Richmond, Melbourne, City of Yarra, Victoria, 3121, Australia",Automated tip calculation and digital payment platform,https://www.linkedin.com/company/on-the-monee/,https://ecosystem.innovationvictoria.com/companies/onthemonee,0,,
Onvol,startup,autonomous & sensor tech;manufacturing,https://onvol.com,early stage,2-10,energy,Melbourne,"McIntosh Street, Airport West, Melbourne, City of Moonee Valley, Victoria, 3042, Australia",Continuous power for IOT sensors,https://www.linkedin.com/company/onvol/,https://ecosystem.innovationvictoria.com/companies/onvol_co,0,,
Onya,startup,,http://onya.me,early stage,1,jobs recruitment,Melbourne,"3000 Melbourne, Australia",Using the power of crowdsourcing industry networks to hire better,https://www.linkedin.com/company/onya./,https://ecosystem.innovationvictoria.com/companies/onya,0,,
OnyX,startup,artificial intelligence;big data;machine learning;subscription;saas,https://onyxcorporations.com/,early stage,2-10,energy;enterprise software,Melbourne,"Essendon, Russell Street, Essendon, Melbourne, City of Moonee Valley, Victoria, 3040, Australia",Renewable energy infrastructure projects through advanced geospatial intelligence and analytics.,https://www.linkedin.com/company/onyxcorporations/,https://ecosystem.innovationvictoria.com/companies/onyx_9,0,,
Oolio,startup,subscription;saas,http://oolio.com,breakout stage,51-200,fintech,Melbourne,"William Street, West Melbourne, Melbourne, City of Melbourne, Victoria, 3003, Australia",,https://www.linkedin.com/company/oolio-au/,https://ecosystem.innovationvictoria.com/companies/oolio,8,,
Oonaa,startup,mobile app;subscription;saas,https://oonaa.app/,early stage,1,kids,Ballarat,"Ballarat, City of Ballarat, Victoria, 3350, Australia",Helping parents have life-changing conversations with their kids,https://www.linkedin.com/company/oonaa/,https://ecosystem.innovationvictoria.com/companies/oonaa,0,,
OPAL Biosciences,scaleup,commission;manufacturing,http://opalbiosciences.com/,early stage,1,health,Melbourne,"Albert Road, South Melbourne, Melbourne, City of Port Phillip, Victoria, 3205, Australia",Biotechnology company committed to tackling a serious global health threat,https://www.linkedin.com/company/opal-biosciences-ltd/,https://ecosystem.innovationvictoria.com/companies/opal_biosciences,0,,
Opaque Media Group,scaleup,saas,http://www.opaque.media,early stage,2-10,enterprise software,Melbourne,"Burnley, Burnley Street, Burnley, Melbourne, City of Yarra, Victoria, 3121, Australia",Operator of a virtual reality studio intended to transform filmmaking with virtual reality. The company's studio uses gaming technology and offers virtual reality production tools for development of consumer and simulation virtual reality experiences,https://www.linkedin.com/company/opaquemediagroup,https://ecosystem.innovationvictoria.com/companies/opaque_media_group,0,,
OPED Australia,startup,manufacturing,http://oped.com.au/,early stage,11-50,health,Melbourne,"26-32 Clayton Rd, Clayton, Victoria 3168, AU",Prosthetic and orthotic solutions enhancing mobility and independence with cutting-edge medical technology,https://www.linkedin.com/company/opedaustralia/,https://ecosystem.innovationvictoria.com/companies/oped_australia,0,,
Open Food Network,scaleup,saas,http://www.openfoodnetwork.org,early stage,11-50,food;enterprise software,Melbourne,"3000 Melbourne, Australia","Our flagship project is an open source software platform that makes it easy to create innovative, independent, community food enterprises. The software can be used by farmers setting up their own online stores, but itâ€™s designed to help farmers col",https://www.linkedin.com/company/openfoodnetwork/,https://ecosystem.innovationvictoria.com/companies/open_food_network,0,,
Open Health,scaleup,subscription;saas,https://www.openhealth.org.au,early stage,1,health,Melbourne,"Northcote, Melbourne, City of Darebin, Victoria, 3070, Australia","A comprehensive platform for lifestyle change, evaluation, and support",https://www.linkedin.com/company/openhealthorg/,https://ecosystem.innovationvictoria.com/companies/open_health_ltd,0,,
Open Pantry,startup,subscription;saas,https://theopenpantry.com,early stage,2-10,food,Melbourne,"Richmond, Melbourne, City of Yarra, Victoria, 3121, Australia",Online System To Manage Orders From Restaurants,https://www.linkedin.com/company/openpantry/,https://ecosystem.innovationvictoria.com/companies/open_pantry,0,,
OpenBrain,startup,,http://openbrain.digital,early stage,2-10,,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",We Offer AI solutions to make sense of the power of artificial intelligence with advanced AI technologies to deliver innovative and effective solutions,https://www.linkedin.com/company/openbraindigital/,https://ecosystem.innovationvictoria.com/companies/openbrain,0,,
OpenCities,scaleup,saas,http://www.opencities.com,early stage,11-50,home living;enterprise software,Melbourne,"50, Market Street, 3000 Melbourne, Australia","Provides a drag & drop approach for building modern Government websites, customer portals, digital services, and staff intranets",https://www.linkedin.com/company/opencities/,https://ecosystem.innovationvictoria.com/companies/opencities,0,,
OpenClub,startup,subscription;saas,http://openclub.com.au,early stage,2-10,event tech,Melbourne,"Melbourne, City of Melbourne, Victoria, 3000, Australia",OpenClub gives you the tools to communicate and manage members without needing to worry about following up outstanding renewal fees,https://www.linkedin.com/company/openclub/,https://ecosystem.innovationvictoria.com/companies/openclub,0,,
OpenForms,startup,subscription;saas,http://openforms.com,early stage,1,enterprise software,Melbourne,"50 Market St, Melbourne, Victoria 3000, AU","Easy-to-use form builder leveraged by agencies, including government, all over the world",https://www.linkedin.com/company/openformsinc/,https://ecosystem.innovationvictoria.com/companies/openforms,0,,
OpenGrid,,,http://opengrid.energy,early stage,,,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",,,https://ecosystem.innovationvictoria.com/companies/opengrid_3,0,,
OpenInvest,startup,subscription;saas,http://openinvest.com.au,early stage,11-50,fintech,Melbourne,"The Commons, 11, Wilson Street, South Yarra, Melbourne, City of Stonnington, Victoria, 3141, Australia","Gives self-directed investors unprecedented access to the resources, expertise, and portfolios of leading investment management companies",https://www.linkedin.com/company/openinvest-au-limited/,https://ecosystem.innovationvictoria.com/companies/openinvest_1,0,,
OpenLIVE,scaleup,advertising,http://openlive.co,early stage,2-10,music,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",,https://www.linkedin.com/company/openlive/,https://ecosystem.innovationvictoria.com/companies/openlive,0,,
Openlot.com.au,startup,big data;artificial intelligence;subscription;advertising;marketplace & ecommerce,http://www.openlot.com.au/,early stage,11-50,real estate,Melbourne,"3000 Melbourne, Australia",One-stop-shop for the house & land search,https://www.linkedin.com/company/openlot-com-au/,https://ecosystem.innovationvictoria.com/companies/openlot_com_au,4,,
Openly Inclusive,startup,artificial intelligence;recognition technology;advertising;commission;subscription;saas,https://openlyinclusive.org/,early stage,,health;travel,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",Making inclusivity simple,,https://ecosystem.innovationvictoria.com/companies/openly_inclusive,0,,
OpenRoads,startup,commission;saas,http://www.openroads.cc/,early stage,,travel;transportation,Melbourne,"3000 Melbourne, Australia",An online travel agency dedicated to helping explorers book motorcycle experiences around the globe,,https://ecosystem.innovationvictoria.com/companies/openroads,0,,
Operandio,startup,subscription;saas,http://operandio.com,early stage,11-50,enterprise software,Melbourne,"Melbourne, Australia",Operandio helps you digitize processes & checklists so your business can perform at its best,http://www.linkedin.com/company/operandio,https://ecosystem.innovationvictoria.com/companies/operandio,2,,
Operata,startup,subscription;saas,https://operata.com,early stage,11-50,security;enterprise software,Melbourne,"Collins Street, Melbourne, City of Melbourne, Victoria, 3000, Australia",Offering performance monitoring and experience management platform for cloud contact centers,https://www.linkedin.com/company/operata/,https://ecosystem.innovationvictoria.com/companies/operata,0,,
Operations Feedback Systems,,saas;manufacturing,http://ofsystems.com,early stage,11-50,enterprise software,Melbourne,"1/2 Darling St, South Yarra, Victoria 3141, AU",The OFS Manufacturing Platform Improve efficiency. Reduce waste. Trust processes. Increase profits,https://www.linkedin.com/company/operations-feedback-systems/,https://ecosystem.innovationvictoria.com/companies/operations_feedback_systems,0,,
Operoo,scaleup,subscription;saas,http://operoo.com,early stage,2-10,telecom;enterprise software,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia","Multi-award winning medical records and online forms system used by schools, clubs, businesses and other groups",https://www.linkedin.com/company/operoo/,https://ecosystem.innovationvictoria.com/companies/operoo,0,,
Opica,startup,,http://opicagroup.com.au,early stage,,fintech;real estate,Melbourne,"Canterbury, Melbourne, City of Boroondara, Victoria, 3126, Australia",RELIE - Expense Verification Platform,,https://ecosystem.innovationvictoria.com/companies/opica_group,0,,
Opin,startup,,http://opin.ai,early stage,11-50,health,Melbourne,"105 Wellington St, St Kilda, Victoria 3182, AU","Global platform connecting patients and volunteers to clinical trials, enhancing healthcare access and participation",https://www.linkedin.com/company/trialscreen/,https://ecosystem.innovationvictoria.com/companies/opin_1_1,0,,
Oppspot,startup,marketplace & ecommerce,http://oppspot.com.au,early stage,1,fashion,Melbourne,"Bentleigh, Caulfield-Frankston Rail Trail, Bentleigh, Melbourne, City of Glen Eira, Victoria, 3204, Australia","Op Shop, Buy and Sell Secondhand Women’s, Men’s and Kids’ Clothing, Shoes and Accessories Online with OppSpot",https://www.linkedin.com/company/opp-spot/,https://ecosystem.innovationvictoria.com/companies/oppspot,0,,
OpsChain,scaleup,subscription;saas,http://opschain.io,early stage,11-50,enterprise software,Melbourne,"Melbourne, Australia",Our mission is to empower the enterprises in the cloud economy,,https://ecosystem.innovationvictoria.com/companies/opschain,0,,
Optain | Eyetelligence,startup,artificial intelligence;deep tech;commission;subscription;saas,http://optainhealth.com,breakout stage,11-50,health,Melbourne,"Collins Street, Melbourne, City of Melbourne, Victoria, 3000, Australia",Optain uses advanced AI retinal imaging to non-invasively assess patient health,https://www.linkedin.com/company/optainhealth/,https://ecosystem.innovationvictoria.com/companies/optain_eyetelligence,0,,
Optalert,,connected device;deep tech;hardware;iot internetofthings;commission;manufacturing,http://optalert.com,early stage,11-50,health,Melbourne,"Richmond, Melbourne, City of Yarra, Victoria, 3121, Australia","Innovative medtech company, that has pioneered the use of Blepharometry (the measurement of blinks) in the quantification of drowsiness",https://www.linkedin.com/company/optalert-pty-ltd/,https://ecosystem.innovationvictoria.com/companies/optalert,0,,
Opthea,scaleup,manufacturing,https://ceryvyn.com,early stage,11-50,health,Melbourne,"Chapel Street/Alexandra Avenue, Main Yarra Trail, South Yarra, Melbourne, City of Stonnington, Victoria, 3141, Australia",Opthea Limited (formerly Circadian Technologies) is a public Australian biotechnology company developing novel biologic therapies for the treatment of eye diseases,https://www.linkedin.com/company/opthea/,https://ecosystem.innovationvictoria.com/companies/opthea,0,,
